2026-01-08 13:50:06 | INFO | NEWS_DATA | Graph output keys: ['queries', 'contents', 'sentiments']
2026-01-08 13:50:06 | INFO | NEWS_DATA | ======================================================================

2026-01-08 13:52:02 | INFO | NEWS_DATA | ======================================================================
2026-01-08 13:52:02 | INFO | NEWS_DATA | >>>>>>>> DATE: 2026-01-08 <<<<<<<<
2026-01-08 13:52:02 | INFO | NEWS_DATA | >>>>>>> Starting Agentic AI Graph Pipeline <<<<<<<
2026-01-08 13:52:02 | INFO | NEWS_DATA | Initializing agentic graph
2026-01-08 13:52:02 | INFO | NEWS_DATA | Invoking agentic graph
2026-01-08 13:52:02 | INFO | NEWS_DATA | Initiated the `get_queries_node`.
2026-01-08 13:52:02 | INFO | NEWS_DATA | Loaded the queries successfully.
2026-01-08 13:52:02 | INFO | NEWS_DATA | Finished the `get_queries_node`, Duration = 0.00s.
2026-01-08 13:52:02 | INFO | NEWS_DATA | Initiated the `fetch_data_node`.
2026-01-08 13:52:22 | INFO | NEWS_DATA | Finished the `fetch_data_node`, Duration = 20.13s, Articles = 15.
2026-01-08 13:52:22 | INFO | NEWS_DATA | Initiated the `get_sentiment_node`.
2026-01-08 13:52:39 | INFO | NEWS_DATA | Finished the `get_sentiment_node`, Duration = 16.75s, Items = 15.
2026-01-08 13:52:39 | INFO | NEWS_DATA | Initiated the `save_node_node`.
2026-01-08 13:52:39 | INFO | NEWS_DATA | Finished the `save_node_node`, Duration = 0.01s.
2026-01-08 13:52:39 | INFO | NEWS_DATA | Agentic AI Graph completed successfully
2026-01-08 13:52:39 | INFO | NEWS_DATA | Graph output keys: ['queries', 'contents', 'sentiments']
2026-01-08 13:52:39 | INFO | NEWS_DATA | ======================================================================

2026-01-09 09:19:33 | INFO | NEWS_DATA | ======================================================================
2026-01-09 09:19:33 | INFO | NEWS_DATA | >>>>>>>> DATE: 2026-01-09 <<<<<<<<
2026-01-09 09:19:33 | INFO | NEWS_DATA | >>>>>>> Starting Agentic AI Graph Pipeline <<<<<<<
2026-01-09 09:19:33 | INFO | NEWS_DATA | Initializing agentic graph
2026-01-09 09:19:34 | INFO | NEWS_DATA | Invoking agentic graph
2026-01-09 09:19:34 | INFO | NEWS_DATA | Initiated the `get_queries_node`.
2026-01-09 09:19:34 | INFO | NEWS_DATA | Loaded the queries successfully.
2026-01-09 09:19:34 | INFO | NEWS_DATA | Finished the `get_queries_node`, Duration = 0.01s.
2026-01-09 09:19:34 | INFO | NEWS_DATA | Initiated the `fetch_data_node`.
2026-01-09 09:20:01 | INFO | NEWS_DATA | Finished the `fetch_data_node`, Duration = 27.10s, Articles = 15.
2026-01-09 09:20:01 | INFO | NEWS_DATA | Initiated the `get_sentiment_node`.
2026-01-09 09:20:23 | INFO | NEWS_DATA | Finished the `get_sentiment_node`, Duration = 22.16s, Items = 15.
2026-01-09 09:20:23 | INFO | NEWS_DATA | Initiated the `save_node_node`.
2026-01-09 09:20:23 | INFO | NEWS_DATA | Finished the `save_node_node`, Duration = 0.01s.
2026-01-09 09:20:23 | INFO | NEWS_DATA | Agentic AI Graph completed successfully
2026-01-09 09:20:23 | INFO | NEWS_DATA | Graph output keys: ['queries', 'contents', 'sentiments']
2026-01-09 09:20:23 | INFO | NEWS_DATA | ======================================================================

2026-01-09 11:38:02 | INFO | NEWS_DATA | ======================================================================
2026-01-09 11:38:02 | INFO | NEWS_DATA | >>>>>>>> DATE: 2026-01-09 <<<<<<<<
2026-01-09 11:38:02 | INFO | NEWS_DATA | >>>>>>> Starting Agentic AI Graph Pipeline <<<<<<<
2026-01-09 11:38:02 | INFO | NEWS_DATA | Initializing agentic graph
2026-01-09 11:38:02 | INFO | NEWS_DATA | Invoking agentic graph
2026-01-09 11:38:02 | INFO | NEWS_DATA | Initiated the `get_queries_node`.
2026-01-09 11:38:02 | INFO | NEWS_DATA | Loaded the queries successfully.
2026-01-09 11:38:02 | INFO | NEWS_DATA | Finished the `get_queries_node`, Duration = 0.00s.
2026-01-09 11:38:02 | INFO | NEWS_DATA | Initiated the `fetch_data_node`.
2026-01-09 11:38:22 | INFO | NEWS_DATA | Finished the `fetch_data_node`, Duration = 19.97s, Articles = 15.
2026-01-09 11:38:22 | INFO | NEWS_DATA | Initiated the `get_sentiment_node`.
2026-01-09 11:38:42 | INFO | NEWS_DATA | Finished the `get_sentiment_node`, Duration = 20.32s, Items = 15.
2026-01-09 11:38:42 | INFO | NEWS_DATA | Initiated the `save_node_node`.
2026-01-09 11:38:42 | INFO | NEWS_DATA | Finished the `save_node_node`, Duration = 0.01s.
2026-01-09 11:38:42 | INFO | NEWS_DATA | Agentic AI Graph completed successfully
2026-01-09 11:38:42 | INFO | NEWS_DATA | Graph output keys: ['queries', 'contents', 'sentiments']
2026-01-09 11:38:42 | INFO | NEWS_DATA | ======================================================================

2026-01-09 12:38:55 | INFO | NEWS_DATA | ======================================================================
2026-01-09 12:38:55 | INFO | NEWS_DATA | >>>>>>>> DATE: 2026-01-09 <<<<<<<<
2026-01-09 12:38:55 | INFO | NEWS_DATA | >>>>>>> Starting Agentic AI Graph Pipeline <<<<<<<
2026-01-09 12:38:55 | INFO | NEWS_DATA | Initializing agentic graph
2026-01-09 12:38:55 | INFO | NEWS_DATA | Invoking agentic graph
2026-01-09 12:38:55 | INFO | NEWS_DATA | Initiated the `get_queries_node`.
